 /features         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)     INR-TSS     REdens1     REdens2
  -4.03550   0.68284   4.41855   0.54353   0.67826   0.17009   0.04874   0.01266   0.30434   0.32429   0.04000   1.39945   6.51278         1
   3.71003   7.89335   2.66444   0.71809   1.10943   0.22644   0.06811   0.01714   0.19520   0.31256   0.12538   5.23213   5.00705         1
   3.46427   1.05539   2.14064   0.59027   1.17158   0.19745   0.04774   0.01351   0.19520   0.31256   0.10979   6.04577   6.43167         1
   3.28017   8.42471   2.70096   0.66695   0.79334   0.27368   0.05879   0.02419   0.19520   0.31256   0.20093   5.82434   5.27543         1
   4.86515   1.31246   4.06740   0.65371   0.80488   0.18676   0.08626   0.01311   0.30434   0.32429   0.08696   2.28612   6.90898         1
   5.42102   8.84026   1.97096   0.74876   0.77614   0.24660   0.04760   0.02224   0.15426   0.31256   0.14081   7.76030   2.82981         1
  -1.39667   7.08992   4.23708   0.57753   0.90658   0.26928   0.05550   0.02439   0.19025   0.32429   0.04000   4.29238   5.88406         1
   3.46427   5.37402   2.48297   0.61955   1.16452   0.20455   0.09509   0.01209   0.04577   0.10249   0.20093   8.88550   2.13798         1
   0.66613  -5.12262   3.58013   0.63645   0.85506   0.19602   0.04272   0.01115   0.30434   0.32429   0.04000   1.20892   4.71153         1
   2.32719   5.07585   4.06740   0.59534   0.67854   0.23490   0.04291   0.01551   0.19520   0.32429   0.04000   1.50209   1.04786         1
   3.12025  -8.24453   4.45508   0.69117   0.69653   0.24470   0.04045   0.01968   0.19025   0.23419   0.08696   6.87585   4.18114         1
   6.45546   6.82183   2.23892   0.67445   0.79495   0.28802   0.04826   0.03008   0.09232   0.23419   0.20093   8.13224   6.68454         1
  -6.18348   6.40892   3.58013   0.91783   0.88686   0.29695   0.06622   0.02598   0.15426   0.10249   0.04000   5.20370   4.85511         1
  -1.09193 -17.49112   3.72507   0.54251   0.68339   0.17105   0.04070   0.00990   0.30434   0.32429   0.04000   2.51956   1.61228         1
   1.30915   5.77977   4.45508   0.67463   0.71354   0.21476   0.05078   0.01592   0.19520   0.31256   0.04000   1.54278   0.69614         1
  -7.05185   0.30188   4.23708   0.59885   0.63228   0.14280   0.04326   0.00867   0.30434   0.32429   0.04000   0.60628   1.62533         1
   5.40939  -8.61357   4.23708   0.61709   1.46360   0.24896   0.06406   0.02292   0.19520   0.31256   0.07314   5.81390   7.93141         1
   1.78316  -9.16633   3.01559   0.60853   0.80659   0.18234   0.07634   0.01207   0.19520   0.31256   0.04000   1.04173   1.18010         1
  -1.74590  -2.00983   4.41855   0.56218   1.24142   0.17207   0.07213   0.00845   0.19025   0.32429   0.04000   6.69353   2.90037         1
   0.43817   1.77423   3.58013   0.61831   0.67542   0.21317   0.04020   0.01422   0.19025   0.32429   0.04000   6.50965   6.31364         1
