 /features        TATA         INR          YP         DPE      3-mers    4-mers/1    4-mers/2    6-mers/1    6-mers/2          CG (A+C)/(G+T)    TATA-TSS    TATA-INR     INR-TSS     REdens1     REdens2
   4.21307  -3.42390   5.76389   3.92569   0.55644   0.58755   0.17994   0.04028   0.01288   0.22443   0.32429   0.01776   0.03981   0.04000   5.03505   6.19252         1
   6.81907   3.65452   5.73506   2.74662   0.54461   0.69633   0.18082   0.04474   0.01108   0.16217   0.32429   0.28007   0.06787   0.11256   5.41819   4.54440         1
   5.55228   1.96649  -5.47790   3.55086   0.62234   0.65089   0.17500   0.04017   0.01086   0.16217   0.32429   0.28007   0.03981   0.04000   4.82974   4.00379         1
   4.15734  -1.35631   6.49512   3.92569   0.70210   0.90412   0.20582   0.07586   0.01604   0.22443   0.31256   0.06084   0.03981   0.04000  11.65924   9.10845         1
   3.31001   0.06110   0.75158   3.87693   0.70110   1.00894   0.15229   0.05895   0.00898   0.22443   0.32429   0.28007   0.03981   0.04000   6.92091   4.87781         1
   7.31866   5.30965  -4.65393   4.65077   0.67332   0.90210   0.14396   0.05943   0.00796   0.21141   0.31256   0.28007   0.06702   0.24830   6.20199   5.57684         1
   6.17832   5.92954   7.39199   0.84985   0.69750   0.91899   0.22241   0.07239   0.02075   0.12382   0.10249   0.28007   0.06674   0.10945   8.21880   4.80961         1
   7.27648  -3.18228   2.30978   2.34876   0.54657   1.93797   0.32310   0.24288   0.02451   0.17898   0.23419   0.03551   0.03981   0.04000   7.72223   7.01776         1
   7.05274   0.48194  -5.30911   2.88644   0.55066   0.72481   0.18300   0.05061   0.01224   0.21141   0.31256   0.28007   0.03981   0.04000   8.62041   7.45465         1
   4.49753   2.57228  -0.49547   3.92569   0.68863   0.69899   0.20281   0.04134   0.01289   0.22443   0.31256   0.23745   0.03981   0.04000   5.92493   6.66611         1
   4.55047   3.71462  -5.67025   3.66028   0.51613   0.74595   0.14887   0.04780   0.00917   0.21141   0.31256   0.02249   0.07608   0.24830   5.40445   2.55529         1
   6.86029   4.47241   5.86598   3.66028   0.59269   0.52162   0.20983   0.03362   0.01088   0.22443   0.32429   0.28007   0.04695   0.12726   4.10940   6.76344         1
   5.69901   4.70191   5.58401   3.09627   0.62422   0.71054   0.20710   0.05526   0.01213   0.16217   0.23419   0.17448   0.04412   0.12783   8.53351   5.71158         1
   7.11381   5.84532  -4.69399   4.38028   0.64431   0.92012   0.16850   0.07614   0.00748   0.22443   0.32429   0.17448   0.04129   0.12783   6.62160   6.15818         1
   6.18324   2.89594   3.18511   3.65520   0.61852   0.55184   0.17938   0.03136   0.01080   0.22443   0.31256   0.17448   0.07608   0.24830   8.77907   5.11272         1
   8.06375   1.24344   3.72849   2.24327   0.55800   1.09446   0.15538   0.07884   0.00873   0.21141   0.23419   0.08665   0.03981   0.04000  13.52167   6.83992         1
   7.49221   2.15882  -2.84390   1.41385   0.86772   1.06078   0.17418   0.11833   0.01280   0.17898   0.10249   0.17448   0.03981   0.04000  10.92351   6.39948         1
   8.06375   2.49309   8.81941   2.74662   0.51734   0.94973   0.21849   0.07354   0.01653   0.21141   0.31256   0.23745   0.03981   0.04000  10.31115   6.89344         1
   3.53676   3.09757   5.35659   4.38028   0.95711   1.16369   0.19108   0.12516   0.01307   0.21141   0.02295   0.03551   0.05515   0.05854  11.73005   2.81624         1
   6.00969   4.13992  -2.80114   1.62369   0.61701   0.93537   0.26297   0.05763   0.01964   0.17898   0.10249   0.28007   0.07608   0.08823   9.48638   5.44731         1
